Name,Link,Year,GRAPHICS PROCESSOR,CORES,TMUS,ROPS,MEMORY SIZE,MEMORY TYPE,BUS WIDTH,GPU Name,GPU Variant,Architecture,Foundry,Process Size,Transistors,Die Size,Release Date,Generation,Production,Launch Price,GPU Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,Shading Units,TMUs,ROPs,Compute Units,Pixel Rate,Texture Rate,FP32 (float) performance,Length,Width,Height,Weight,TDP,Outputs,DirectX,OpenGL,OpenCL,Vulkan,Shader Model,Bus Interface,Reviews,L1 Cache,L2 Cache,Slot Width,Suggested PSU,Power Connectors,Predecessor,Successor,FP64 (double) performance,Board Number,Base Clock,Boost Clock,PIXEL SHADERS,VERTEX SHADERS,Pixel Shaders,Vertex Shaders,Vertex Rate,Pixel Shader,Vertex Shader,Part Number
Radeon HD 3300 IGP,https://www.techpowerup.com/gpu-specs/radeon-hd-3300-igp.c231,2008,RS780,40,4,4,System Shared,System Shared,System Shared,RS780,RS780D,TeraScale,,65 nm,180 million,85 mm²,"Aug 6th, 2008","Radeon IGP
(3000)",End-of-life,,500 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,40,4,4,2,2.000 GPixel/s,2.000 GTexel/s,40.00 GFLOPS,,,,,unknown,No outputs,10.0 (10_0),3.3,1.0,N/A,4.1,PCIe 1.0 x16,,,,IGP,,,,,,,,,,,,,,,,
Radeon HD 3450 AGP,https://www.techpowerup.com/gpu-specs/radeon-hd-3450-agp.c553,2008,RV620,40,4,4,512 MB,DDR2,64 bit,RV620,RV620 LE,TeraScale,TSMC,55 nm,181 million,67 mm²,"Jan 23rd, 2008","Radeon R600
(HD 3400)",End-of-life,,600 MHz,"500 MHz
1000 Mbps effective",512 MB,DDR2,64 bit,8.000 GB/s,40,4,4,2,2.400 GPixel/s,2.400 GTexel/s,48.00 GFLOPS,,,,,25 W,2x DVI,10.1 (10_1),3.3,N/A,N/A,4.1,AGP 8x,7 in our database,,64 KB,Single-slot,200 W,1x Molex,Radeon R500 PCIe,Radeon R700,,,,,,,,,,,,
Radeon HD 3450 PCI,https://www.techpowerup.com/gpu-specs/radeon-hd-3450-pci.c551,2008,RV620,40,4,4,512 MB,DDR2,64 bit,RV620,RV620 LE,TeraScale,TSMC,55 nm,181 million,67 mm²,"Jan 23rd, 2008","Radeon R600
(HD 3400)",End-of-life,,600 MHz,"400 MHz
800 Mbps effective",512 MB,DDR2,64 bit,6.400 GB/s,40,4,4,2,2.400 GPixel/s,2.400 GTexel/s,48.00 GFLOPS,,,,,25 W,"1x DVI
1x S-Video",10.1 (10_1),3.3,N/A,N/A,4.1,PCI,7 in our database,,64 KB,Single-slot,200 W,None,Radeon R500 PCIe,Radeon R700,,,,,,,,,,,,
Radeon HD 3470,https://www.techpowerup.com/gpu-specs/radeon-hd-3470.c225,2008,RV620,40,4,4,256 MB,GDDR3,64 bit,RV620,"RV620 PRO
(215-0670006)",TeraScale,TSMC,55 nm,181 million,67 mm²,"Jan 23rd, 2008","Radeon R600
(HD 3400)",End-of-life,,800 MHz,"950 MHz
1900 Mbps effective",256 MB,GDDR3,64 bit,15.20 GB/s,40,4,4,2,3.200 GPixel/s,3.200 GTexel/s,64.00 GFLOPS,"168 mm
6.6 inches",,,,30 W,"1x DVI
1x VGA
1x S-Video",10.1 (10_1),3.3,N/A,N/A,4.1,PCIe 2.0 x16,1 in our database,,64 KB,Single-slot,200 W,None,Radeon R500 PCIe,Radeon R700,,B530,,,,,,,,,,
Radeon HD 3550,https://www.techpowerup.com/gpu-specs/radeon-hd-3550.c2075,2008,RV620,40,4,4,512 MB,DDR2,64 bit,RV620,"RV620 PRO
(215-0670006)",TeraScale,TSMC,55 nm,181 million,67 mm²,"Aug 4th, 2008","Radeon R600
(HD 3500)",End-of-life,,594 MHz,"396 MHz
792 Mbps effective",512 MB,DDR2,64 bit,6.336 GB/s,40,4,4,2,2.376 GPixel/s,2.376 GTexel/s,47.52 GFLOPS,,,,,30 W,2x DisplayPort,10.1 (10_1),3.3,N/A,N/A,4.1,PCIe 2.0 x16,,,64 KB,Single-slot,200 W,None,Radeon R500 PCIe,Radeon R700,,,,,,,,,,,,
Radeon HD 3650,https://www.techpowerup.com/gpu-specs/radeon-hd-3650.c226,2008,RV635,120,8,4,256 MB,GDDR3,128 bit,RV635,"RV635 PRO
(215-0682008)",TeraScale,TSMC,55 nm,378 million,135 mm²,"Jan 20th, 2008","Radeon R600
(HD 3600)",End-of-life,,725 MHz,"800 MHz
1600 Mbps effective",256 MB,GDDR3,128 bit,25.60 GB/s,120,8,4,3,2.900 GPixel/s,5.800 GTexel/s,174.0 GFLOPS,,,,,65 W,"2x DVI
1x S-Video",10.1 (10_1),3.3,N/A,N/A,4.1,PCIe 2.0 x16,28 in our database,,128 KB,Single-slot,250 W,None,Radeon R500 PCIe,Radeon R700,,B381,,,,,,,,,,
Radeon HD 3650 AGP,https://www.techpowerup.com/gpu-specs/radeon-hd-3650-agp.c313,2008,RV635,120,8,4,512 MB,DDR2,128 bit,RV635,"RV635 PRO
(215-0682008)",TeraScale,TSMC,55 nm,378 million,135 mm²,"Jan 23rd, 2008","Radeon R600
(HD 3600)",End-of-life,,725 MHz,"500 MHz
1000 Mbps effective",512 MB,DDR2,128 bit,16.00 GB/s,120,8,4,3,2.900 GPixel/s,5.800 GTexel/s,174.0 GFLOPS,,,,,65 W,"2x DVI
1x S-Video",10.1 (10_1),3.3,N/A,N/A,4.1,AGP 8x,28 in our database,,128 KB,Single-slot,250 W,None,Radeon R500 PCIe,Radeon R700,,B381,,,,,,,,,,
Radeon HD 3690,https://www.techpowerup.com/gpu-specs/radeon-hd-3690.c305,2008,RV670,320,16,16,256 MB,GDDR3,128 bit,RV670,"RV670 PRO
(215-0708003)",TeraScale,TSMC,55 nm,666 million,192 mm²,"Mar 30th, 2008","Radeon R600
(HD 3600)",End-of-life,,670 MHz,"830 MHz
1660 Mbps effective",256 MB,GDDR3,128 bit,26.56 GB/s,320,16,16,4,10.72 GPixel/s,10.72 GTexel/s,428.8 GFLOPS,,,,,75 W,"2x DVI
1x S-Video",10.1 (10_1),"3.3 (full)
4.0 (partial)",N/A,N/A,4.1,PCIe 2.0 x16,,,128 KB,Dual-slot,250 W,1x 6-pin,Radeon R500 PCIe,Radeon R700,85.76 GFLOPS (1:5),B340,,,,,,,,,,
Radeon HD 3730,https://www.techpowerup.com/gpu-specs/radeon-hd-3730.c2072,2008,RV635,120,8,4,512 MB,DDR2,128 bit,RV635,"RV635 PRO
(215-0682008)",TeraScale,TSMC,55 nm,378 million,135 mm²,"Oct 5th, 2008","Radeon R600
(HD 3700)",End-of-life,,722 MHz,"396 MHz
792 Mbps effective",512 MB,DDR2,128 bit,12.67 GB/s,120,8,4,3,2.888 GPixel/s,5.776 GTexel/s,173.3 GFLOPS,,,,,65 W,"2x DVI
1x S-Video",10.1 (10_1),3.3,N/A,N/A,4.1,PCIe 2.0 x16,,,128 KB,Single-slot,250 W,None,Radeon R500 PCIe,Radeon R700,,,,,,,,,,,,
Radeon HD 3750,https://www.techpowerup.com/gpu-specs/radeon-hd-3750.c2073,2008,RV635,120,8,4,512 MB,GDDR3,128 bit,RV635,"RV635 PRO
(215-0682008)",TeraScale,TSMC,55 nm,378 million,135 mm²,"Sep 11th, 2008","Radeon R600
(HD 3700)",End-of-life,,796 MHz,"693 MHz
1386 Mbps effective",512 MB,GDDR3,128 bit,22.18 GB/s,120,8,4,3,3.184 GPixel/s,6.368 GTexel/s,191.0 GFLOPS,,,,,65 W,"2x DVI
1x S-Video",10.1 (10_1),3.3,N/A,N/A,4.1,PCIe 2.0 x16,,,128 KB,Single-slot,250 W,None,Radeon R500 PCIe,Radeon R700,,,,,,,,,,,,
Radeon HD 3830,https://www.techpowerup.com/gpu-specs/radeon-hd-3830.c227,2008,RV670,320,16,16,256 MB,GDDR3,128 bit,RV670,"RV670 PRO
(215-0708003)",TeraScale,TSMC,55 nm,666 million,192 mm²,"Apr 1st, 2008","Radeon R600
(HD 3800)",End-of-life,,668 MHz,"828 MHz
1656 Mbps effective",256 MB,GDDR3,128 bit,26.50 GB/s,320,16,16,4,10.69 GPixel/s,10.69 GTexel/s,427.5 GFLOPS,,,,,75 W,No outputs,10.1 (10_1),"3.3 (full)
4.0 (partial)",N/A,N/A,4.1,PCIe 2.0 x16,,,128 KB,Dual-slot,250 W,1x 6-pin,Radeon R500 PCIe,Radeon R700,85.50 GFLOPS (1:5),,,,,,,,,,,
Radeon HD 3850 AGP,https://www.techpowerup.com/gpu-specs/radeon-hd-3850-agp.c312,2008,RV670,320,16,16,512 MB,GDDR3,256 bit,RV670,"RV670 PRO
(215-0708003)",TeraScale,TSMC,55 nm,666 million,192 mm²,"Jan 3rd, 2008","Radeon R600
(HD 3800)",End-of-life,,668 MHz,"828 MHz
1656 Mbps effective",512 MB,GDDR3,256 bit,52.99 GB/s,320,16,16,4,10.69 GPixel/s,10.69 GTexel/s,427.5 GFLOPS,,,,,75 W,"2x DVI
1x S-Video",10.1 (10_1),"3.3 (full)
4.0 (partial)",N/A,N/A,4.1,AGP 8x,71 in our database,,256 KB,Single-slot,250 W,1x 8-pin,Radeon R500 PCIe,Radeon R700,85.50 GFLOPS (1:5),B340,,,,,,,,,,
Radeon HD 3850 X2,https://www.techpowerup.com/gpu-specs/radeon-hd-3850-x2.c228,2008,RV670 x2,320 x2,16 x2,16 x2,512 MB x2,GDDR3,256 bit x2,RV670,"RV670 PRO
(215-0708003)",TeraScale,TSMC,55 nm,666 million,192 mm²,"Apr 4th, 2008","Radeon R600
(HD 3800)",End-of-life,349 USD,669 MHz,"828 MHz
1656 Mbps effective",512 MB,GDDR3,256 bit,52.99 GB/s,320,16,16,4,10.70 GPixel/s,10.70 GTexel/s,428.2 GFLOPS,"267 mm
10.5 inches",,,,140 W,"2x DVI
1x S-Video",10.1 (10_1),"3.3 (full)
4.0 (partial)",N/A,N/A,4.1,PCIe 2.0 x16,1 in our database,,256 KB,Dual-slot,300 W,,Radeon R500 PCIe,Radeon R700,85.63 GFLOPS (1:5),,,,,,,,,,,
Radeon HD 3850 X3,https://www.techpowerup.com/gpu-specs/radeon-hd-3850-x3.c1931,2008,RV670 x3,320 x3,16 x3,16 x3,512 MB x3,GDDR3,256 bit x3,RV670,"RV670 PRO
(215-0708003)",TeraScale,TSMC,55 nm,666 million,192 mm²,Never Released,"Radeon R600
(HD 3800)",End-of-life,,669 MHz,"850 MHz
1700 Mbps effective",512 MB,GDDR3,256 bit,54.40 GB/s,320,16,16,4,10.70 GPixel/s,10.70 GTexel/s,428.2 GFLOPS,"292 mm
11.5 inches",,,,145 W,4x DVI,10.1 (10_1),"3.3 (full)
4.0 (partial)",N/A,N/A,4.1,PCIe 2.0 x16,,,256 KB,Dual-slot,300 W,1x 8-pin,Radeon R500 PCIe,Radeon R700,,,,,,,,,,,,
Radeon HD 3870 Mac Edition,https://www.techpowerup.com/gpu-specs/radeon-hd-3870-mac-edition.c2452,2008,RV670,320,16,16,512 MB,GDDR4,256 bit,RV670,"RV670 XT
(215-0708005)",TeraScale,TSMC,55 nm,666 million,192 mm²,"Jun 12th, 2008","Radeon R600
(HD 3800)",End-of-life,,777 MHz,"1126 MHz
2.3 Gbps effective",512 MB,GDDR4,256 bit,72.06 GB/s,320,16,16,4,12.43 GPixel/s,12.43 GTexel/s,497.3 GFLOPS,"241 mm
9.5 inches",,,,106 W,"2x DVI
1x S-Video",10.1 (10_1),"3.3 (full)
4.0 (partial)",N/A,N/A,4.1,PCIe 2.0 x16,80 in our database,,256 KB,Single-slot,300 W,1x 6-pin,Radeon R500 PCIe,Radeon R700,99.46 GFLOPS (1:5),,,,,,,,,,,
Radeon HD 3870 X2,https://www.techpowerup.com/gpu-specs/radeon-hd-3870-x2.c209,2008,R680 x2,320 x2,16 x2,16 x2,512 MB x2,GDDR3,256 bit x2,R680,"R680 XT
(215-0708017)",TeraScale,TSMC,55 nm,666 million,192 mm²,"Jan 26th, 2008","Radeon R600
(HD 3800)",End-of-life,449 USD,825 MHz,"901 MHz
1802 Mbps effective",512 MB,GDDR3,256 bit,57.66 GB/s,320,16,16,4,13.20 GPixel/s,13.20 GTexel/s,528.0 GFLOPS,"267 mm
10.5 inches","113 mm
4.4 inches","39 mm
1.5 inches",,165 W,"2x DVI
1x S-Video",10.1 (10_1),"3.3 (full)
4.0 (partial)",N/A,N/A,4.1,PCIe 2.0 x16,72 in our database,,256 KB,Dual-slot,450 W,1x 6-pin + 1x 8-pin,Radeon R500 PCIe,Radeon R700,105.6 GFLOPS (1:5),B400,,,,,,,,,,
Radeon HD 4350,https://www.techpowerup.com/gpu-specs/radeon-hd-4350.c423,2008,RV710,80,8,4,512 MB,DDR3,64 bit,RV710,"RV710
(215-0725016)",TeraScale,TSMC,55 nm,242 million,73 mm²,"Sep 30th, 2008","Radeon R700
(HD 4300)",End-of-life,,600 MHz,"400 MHz
800 Mbps effective",512 MB,DDR3,64 bit,6.400 GB/s,80,8,4,1,2.400 GPixel/s,4.800 GTexel/s,96.00 GFLOPS,,,,,20 W,2x DisplayPort 1.0,10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,4 in our database,16 KB (per CU),64 KB,Single-slot,200 W,None,Radeon R600,Evergreen,,B750,,,,,,,,,,
Radeon HD 4350 AGP,https://www.techpowerup.com/gpu-specs/radeon-hd-4350-agp.c310,2008,RV710,80,8,4,512 MB,DDR3,64 bit,RV710,"RV710
(215-0725016)",TeraScale,TSMC,55 nm,242 million,73 mm²,"Sep 30th, 2008","Radeon R700
(HD 4300)",End-of-life,,600 MHz,"650 MHz
1300 Mbps effective",512 MB,DDR3,64 bit,10.40 GB/s,80,8,4,1,2.400 GPixel/s,4.800 GTexel/s,96.00 GFLOPS,,,,,20 W,"1x DVI
1x VGA
1x S-Video",10.1 (10_1),3.3,1.1,N/A,4.1,AGP 8x,4 in our database,16 KB (per CU),64 KB,Single-slot,200 W,None,Radeon R600,Evergreen,,,,,,,,,,,,
Radeon HD 4350 PCI,https://www.techpowerup.com/gpu-specs/radeon-hd-4350-pci.c311,2008,RV710,80,8,4,512 MB,DDR2,64 bit,RV710,"RV710 PCI
(215-0725018)",TeraScale,TSMC,55 nm,242 million,73 mm²,"Sep 30th, 2008","Radeon R700
(HD 4300)",End-of-life,,600 MHz,"400 MHz
800 Mbps effective",512 MB,DDR2,64 bit,6.400 GB/s,80,8,4,1,2.400 GPixel/s,4.800 GTexel/s,96.00 GFLOPS,"178 mm
7 inches",,,,20 W,"1x DVI
1x VGA
1x S-Video",10.1 (10_1),3.3,1.1,N/A,4.1,PCI,4 in our database,16 KB (per CU),64 KB,Single-slot,200 W,None,Radeon R600,Evergreen,,,,,,,,,,,,
Radeon HD 4350 PCIe x1,https://www.techpowerup.com/gpu-specs/radeon-hd-4350-pcie-x1.c921,2008,RV710,80,8,4,512 MB,DDR2,64 bit,RV710,"RV710
(215-0725016)",TeraScale,TSMC,55 nm,242 million,73 mm²,"Sep 30th, 2008","Radeon R700
(HD 4300)",End-of-life,,600 MHz,"400 MHz
800 Mbps effective",512 MB,DDR2,64 bit,6.400 GB/s,80,8,4,1,2.400 GPixel/s,4.800 GTexel/s,96.00 GFLOPS,,,,,20 W,"1x DVI
1x VGA
1x S-Video",10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x1,4 in our database,16 KB (per CU),64 KB,Single-slot,200 W,None,Radeon R600,Evergreen,,,,,,,,,,,,
Radeon HD 4550,https://www.techpowerup.com/gpu-specs/radeon-hd-4550.c232,2008,RV710,80,8,4,256 MB,DDR2,64 bit,RV710,"RV710
(215-0725016)",TeraScale,TSMC,55 nm,242 million,73 mm²,"Sep 30th, 2008","Radeon R700
(HD 4500)",End-of-life,59 USD,600 MHz,"655 MHz
1310 Mbps effective",256 MB,DDR2,64 bit,10.48 GB/s,80,8,4,1,2.400 GPixel/s,4.800 GTexel/s,96.00 GFLOPS,"168 mm
6.6 inches",,,,25 W,"1x DVI
1x HDMI 1.3a
1x DisplayPort 1.0",10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,18 in our database,16 KB (per CU),64 KB,Single-slot,200 W,None,Radeon R600,Evergreen,,"AB711,
B725,
B889,
B890,
B947",,,,,,,,,,
Radeon HD 4570,https://www.techpowerup.com/gpu-specs/radeon-hd-4570.c2076,2008,RV710,80,8,4,1024 MB,DDR2,64 bit,RV710,"RV710
(215-0725016)",TeraScale,TSMC,55 nm,242 million,73 mm²,"Nov 25th, 2008","Radeon R700
(HD 4500)",End-of-life,,650 MHz,"500 MHz
1000 Mbps effective",1024 MB,DDR2,64 bit,8.000 GB/s,80,8,4,1,2.600 GPixel/s,5.200 GTexel/s,104.0 GFLOPS,"168 mm
6.6 inches",,,,25 W,"1x DVI
1x HDMI 1.3a
1x DisplayPort 1.0",10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,,16 KB (per CU),64 KB,Single-slot,200 W,None,Radeon R600,Evergreen,,,,,,,,,,,,
Radeon HD 4650,https://www.techpowerup.com/gpu-specs/radeon-hd-4650.c233,2008,RV730,320,32,8,256 MB,GDDR3,128 bit,RV730,"RV730 PRO
(215-0719056)",TeraScale,TSMC,55 nm,514 million,146 mm²,"Sep 10th, 2008","Radeon R700
(HD 4600)",End-of-life,,600 MHz,"700 MHz
1400 Mbps effective",256 MB,GDDR3,128 bit,22.40 GB/s,320,32,8,4,4.800 GPixel/s,19.20 GTexel/s,384.0 GFLOPS,"193 mm
7.6 inches",,,,48 W,"2x DVI
1x S-Video",10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,20 in our database,16 KB (per CU),128 KB,Single-slot,200 W,,Radeon R600,Evergreen,,,,,,,,,,,,
Radeon HD 4650 AGP,https://www.techpowerup.com/gpu-specs/radeon-hd-4650-agp.c491,2008,RV730,320,32,8,512 MB,DDR2,128 bit,RV730,"RV730 PRO
(215-0719056)",TeraScale,TSMC,55 nm,514 million,146 mm²,"Sep 10th, 2008","Radeon R700
(HD 4600)",End-of-life,,600 MHz,"400 MHz
800 Mbps effective",512 MB,DDR2,128 bit,12.80 GB/s,320,32,8,4,4.800 GPixel/s,19.20 GTexel/s,384.0 GFLOPS,,,,,48 W,"1x DVI
1x HDMI 1.3a
1x VGA",10.1 (10_1),3.3,1.1,N/A,4.1,AGP 8x,20 in our database,16 KB (per CU),128 KB,Single-slot,200 W,,Radeon R600,Evergreen,,,,,,,,,,,,
Radeon HD 4670,https://www.techpowerup.com/gpu-specs/radeon-hd-4670.c234,2008,RV730,320,32,8,512 MB,GDDR3,128 bit,RV730,"RV730 XT
(215-0719047)",TeraScale,TSMC,55 nm,514 million,146 mm²,"Sep 10th, 2008","Radeon R700
(HD 4600)",End-of-life,67 USD,750 MHz,"1000 MHz
2 Gbps effective",512 MB,GDDR3,128 bit,32.00 GB/s,320,32,8,4,6.000 GPixel/s,24.00 GTexel/s,480.0 GFLOPS,"193 mm
7.6 inches",,,,59 W,"2x DVI
1x S-Video",10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,49 in our database,16 KB (per CU),128 KB,Single-slot,250 W,None,Radeon R600,Evergreen,,B666,,,,,,,,,,
Radeon HD 4670 X2,https://www.techpowerup.com/gpu-specs/radeon-hd-4670-x2.c1169,2008,RV730 x2,320 x2,32 x2,8 x2,512 MB x2,GDDR3,128 bit x2,RV730,"RV730 XT
(215-0719047)",TeraScale,TSMC,55 nm,514 million,146 mm²,"Sep 10th, 2008","Radeon R700
(HD 4600)",End-of-life,,750 MHz,"700 MHz
1400 Mbps effective",512 MB,GDDR3,128 bit,22.40 GB/s,320,32,8,4,6.000 GPixel/s,24.00 GTexel/s,480.0 GFLOPS,,,,,118 W,4x DVI,10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,49 in our database,16 KB (per CU),128 KB,Dual-slot,300 W,1x 6-pin,Radeon R600,Evergreen,,,,,,,,,,,,
Radeon HD 4710,https://www.techpowerup.com/gpu-specs/radeon-hd-4710.c2606,2008,RV730,320,32,8,1024 MB,GDDR3,128 bit,RV730,RV730 CE,TeraScale,TSMC,55 nm,514 million,146 mm²,"Sep 10th, 2008","Radeon R700
(HD 4700)",End-of-life,,750 MHz,"800 MHz
1600 Mbps effective",1024 MB,GDDR3,128 bit,25.60 GB/s,320,32,8,4,6.000 GPixel/s,24.00 GTexel/s,480.0 GFLOPS,"193 mm
7.6 inches",,,,59 W,"2x DVI
1x S-Video",10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,,16 KB (per CU),128 KB,Single-slot,250 W,,Radeon R600,Evergreen,,,,,,,,,,,,
Radeon HD 4730 OEM,https://www.techpowerup.com/gpu-specs/radeon-hd-4730-oem.c2280,2008,RV670,320,16,16,1024 MB,DDR2,256 bit,RV670,,TeraScale,TSMC,55 nm,666 million,192 mm²,"Dec 26th, 2008","Radeon R700
(HD 4700)",End-of-life,,669 MHz,"396 MHz
792 Mbps effective",1024 MB,DDR2,256 bit,25.34 GB/s,320,16,16,4,10.70 GPixel/s,10.70 GTexel/s,428.2 GFLOPS,"241 mm
9.5 inches",,,,110 W,"2x DVI
1x S-Video",10.1 (10_1),"3.3 (full)
4.0 (partial)",N/A,N/A,4.1,PCIe 2.0 x16,7 in our database,,256 KB,Dual-slot,300 W,,Radeon R600,Evergreen,85.63 GFLOPS (1:5),,,,,,,,,,,
Radeon HD 4830,https://www.techpowerup.com/gpu-specs/radeon-hd-4830.c282,2008,RV770,640,32,16,512 MB,GDDR3,256 bit,RV770,"RV770 LE
(215-0669075)",TeraScale,TSMC,55 nm,956 million,256 mm²,"Oct 21st, 2008","Radeon R700
(HD 4800)",End-of-life,130 USD,575 MHz,"900 MHz
1800 Mbps effective",512 MB,GDDR3,256 bit,57.60 GB/s,640,32,16,8,9.200 GPixel/s,18.40 GTexel/s,736.0 GFLOPS,"246 mm
9.7 inches","111 mm
4.4 inches","20 mm
0.8 inches",,95 W,"2x DVI
1x S-Video",10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,43 in our database,16 KB (per CU),256 KB,Single-slot,250 W,1x 6-pin,Radeon R600,Evergreen,147.2 GFLOPS (1:5),B501-31,,,,,,,,,,
Radeon HD 4850,https://www.techpowerup.com/gpu-specs/radeon-hd-4850.c493,2008,RV770,800,40,16,512 MB,GDDR3,256 bit,RV770,"RV770 PRO
(215-0669065)",TeraScale,TSMC,55 nm,956 million,256 mm²,"Jun 25th, 2008","Radeon R700
(HD 4800)",End-of-life,199 USD,625 MHz,"993 MHz
1986 Mbps effective",512 MB,GDDR3,256 bit,63.55 GB/s,800,40,16,10,10.00 GPixel/s,25.00 GTexel/s,"1,000 GFLOPS","246 mm
9.7 inches",,,,110 W,"2x DVI
1x S-Video",10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,127 in our database,16 KB (per CU),256 KB,Single-slot,300 W,1x 6-pin,Radeon R600,Evergreen,200.0 GFLOPS (1:5),B501-31,,,,,,,,,,
Radeon HD 4850 X2,https://www.techpowerup.com/gpu-specs/radeon-hd-4850-x2.c1026,2008,R700 x2,800 x2,40 x2,16 x2,512 MB x2,GDDR3,256 bit x2,R700,"R700 PRO
(215-0669065)",TeraScale,TSMC,55 nm,956 million,256 mm²,"Nov 7th, 2008","Radeon R700
(HD 4800)",End-of-life,420 USD,625 MHz,"995 MHz
1990 Mbps effective",512 MB,GDDR3,256 bit,63.68 GB/s,800,40,16,10,10.00 GPixel/s,25.00 GTexel/s,"1,000 GFLOPS","267 mm
10.5 inches",,,,250 W,"4x DVI
1x S-Video",10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,26 in our database,16 KB (per CU),256 KB,Dual-slot,600 W,1x 6-pin + 1x 8-pin,Radeon R600,Evergreen,200.0 GFLOPS (1:5),B501,,,,,,,,,,
Radeon HD 4870,https://www.techpowerup.com/gpu-specs/radeon-hd-4870.c219,2008,RV770,800,40,16,512 MB,GDDR5,256 bit,RV770,"RV770 XT
(215-0669049)",TeraScale,TSMC,55 nm,956 million,256 mm²,"Jun 25th, 2008","Radeon R700
(HD 4800)",End-of-life,299 USD,750 MHz,"900 MHz
3.6 Gbps effective",512 MB,GDDR5,256 bit,115.2 GB/s,800,40,16,10,12.00 GPixel/s,30.00 GTexel/s,"1,200 GFLOPS","241 mm
9.5 inches","111 mm
4.4 inches","40 mm
1.6 inches",,150 W,"2x DVI
1x S-Video",10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,135 in our database,16 KB (per CU),256 KB,Dual-slot,450 W,2x 6-pin,Radeon R600,Evergreen,240.0 GFLOPS (1:5),B507-31,,,,,,,,,,
Radeon HD 4870 X2,https://www.techpowerup.com/gpu-specs/radeon-hd-4870-x2.c236,2008,R700 x2,800 x2,40 x2,16 x2,1024 MB x2,GDDR5,256 bit x2,R700,"R700 XT
(215-0669045)",TeraScale,TSMC,55 nm,956 million,256 mm²,"Aug 12th, 2008","Radeon R700
(HD 4800)",End-of-life,550 USD,750 MHz,"900 MHz
3.6 Gbps effective",1024 MB,GDDR5,256 bit,115.2 GB/s,800,40,16,10,12.00 GPixel/s,30.00 GTexel/s,"1,200 GFLOPS","267 mm
10.5 inches","111 mm
4.4 inches","38 mm
1.5 inches",,286 W,"2x DVI
1x S-Video",10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,79 in our database,16 KB (per CU),256 KB,Dual-slot,600 W,1x 6-pin + 1x 8-pin,Radeon R600,Evergreen,240.0 GFLOPS (1:5),B509-37,,,,,,,,,,
Radeon X1050,https://www.techpowerup.com/gpu-specs/radeon-x1050.c1812,2008,RV410,,8,8,128 MB,DDR,64 bit,RV410,,R400,TSMC,110 nm,120 million,156 mm²,"Jan 25th, 2008","Radeon R400 PCIe
(X1050)",End-of-life,,400 MHz,"200 MHz
400 Mbps effective",128 MB,DDR,64 bit,3.200 GB/s,,8,8,,3.200 GPixel/s,3.200 GTexel/s,,,,,,24 W,"1x DVI
1x VGA
1x S-Video",9.0b (9_2),2.0,N/A,N/A,,PCIe 1.0 x16,4 in our database,,,Single-slot,200 W,None,Radeon R500 PCIe,Radeon R600,,,,,8,6,8,6,600.0 MVertices/s,2.0b,2.0b,
Radeon Xpress 2100 IGP,https://www.techpowerup.com/gpu-specs/radeon-xpress-2100-igp.c670,2008,RS780,40,4,4,System Shared,System Shared,System Shared,RS780,,TeraScale,,65 nm,180 million,85 mm²,"Mar 4th, 2008","Radeon IGP
(2000)",End-of-life,,500 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,40,4,4,2,2.000 GPixel/s,2.000 GTexel/s,40.00 GFLOPS,,,,,unknown,No outputs,10.0 (10_0),3.3,1.0,N/A,4.1,PCIe 1.0 x16,,,,IGP,,,,,,,,,,,,,,,,
Xbox 360 GPU 65nm,https://www.techpowerup.com/gpu-specs/xbox-360-gpu-65nm.c3508,2008,Xenos Jasper,240,16,8,512 MB,GDDR3,128 bit,Xenos Jasper,Crayola 6,TeraScale,TSMC,65 nm,232 million,181 mm²,"Aug 1st, 2008","Console GPU
(Microsoft)",End-of-life,449 USD,500 MHz,"700 MHz
1400 Mbps effective",512 MB,GDDR3,128 bit,22.40 GB/s,240,16,8,3,4.000 GPixel/s,8.000 GTexel/s,240.0 GFLOPS,"310 mm
12.2 inches","269 mm
10.6 inches","79 mm
3.1 inches",3.5 kg (7.7 lbs),150 W,No outputs,9.0c (9_3),N/A,N/A,N/A,3.0,,,,,,,,,,,,,,,,,,,,,
